user_id,answer
218492,0.58
218492,0.26
218492,0.19
218535,0.68
218535,0.33
218535,0.48
218557,0.74
218557,0.63
218557,0.73
218557,0.8
218557,0.56
218557,0.64
218557,0.02
218557,0.07
218557,0.07
218559,0.58
218559,0.31
218559,0.33
218559,0.35
218559,0.37
218559,0.4
218559,0.36
218559,0.43
218559,0.36
218559,0.32
218559,0.35
218559,0.22
218559,0.22
218559,0.16
218559,0.1
218559,0.17
218559,0.06
218559,0.09
218559,0.07
218559,0.08
218559,0.07
218559,0.07
218559,0.0
218559,0.03
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.03
218559,0.04
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.03
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.01
218559,0.03
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.01
218559,0.01
218559,0.0
218559,0.01
218559,0.03
218559,0.0
218559,0.0
218559,0.0
218559,0.01
218559,0.02
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.02
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.03
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.02
218559,0.0
218559,0.02
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.02
218559,0.01
218559,0.0
218559,0.01
218559,0.03
218559,0.0
218559,0.01
218559,0.02
218559,0.0
218559,0.01
218559,0.01
218559,0.02
218559,0.0
218559,0.0
218559,0.0
218559,0.01
218559,0.01
218559,0.0
218559,0.0
218559,0.01
218559,0.0
218559,0.02
218559,0.0
218559,0.02
218559,0.0
218559,0.0
218559,0.01
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.0
218559,0.01
218559,0.0
218559,0.01
218559,0.0
218559,0.0
218591,0.71
218591,0.59
218591,0.86
218602,0.09
218602,0.11
218602,0.06
218602,0.02
218602,0.0
218602,0.02
218602,0.01
218602,0.03
218602,0.01
218602,0.04
218625,0.46
218625,0.47
218625,0.48
218625,0.5
218625,0.52
218625,0.49
218625,0.44
218625,0.42
218625,0.42
218625,0.47
218625,0.41
218625,0.45
218625,0.41
218625,0.39
218625,0.4
218625,0.4
218625,0.38
218625,0.39
218625,0.37
218625,0.38
218625,0.38
218625,0.39
218625,0.37
218625,0.37
218625,0.36
218625,0.36
218625,0.36
218625,0.36
218625,0.36
218625,0.36
218625,0.37
218625,0.37
218625,0.37
218625,0.38
218625,0.37
218625,0.39
218625,0.38
218625,0.39
218625,0.34
218625,0.38
218625,0.38
218625,0.33
218625,0.35
218625,0.39
218625,0.35
218625,0.37
218625,0.33
218625,0.35
218625,0.38
218625,0.33
218625,0.34
