user_id,answer
218492,1
218535,1
218557,0
218559,0
218591,1
218602,1
218625,0
218636,1
218643,0
218653,0
218658,1
218671,0
218674,0
218677,1
218705,1
218709,0
218736,0
218755,1
218775,1
218801,1
218803,0
218814,0
218826,1
218834,0
218855,0
218867,1
218869,0
218870,0
218872,1
218896,1
218971,1
218976,1
218979,1
219021,0
219022,0
219035,0
219045,0
219083,1
219096,1
219111,1
219117,1
219118,0
219127,1
219129,1
219134,1
219147,0
219148,0
219150,0
219181,1
219207,0
219216,0
219219,1
219220,0
219224,0
219232,1
219241,0
219267,1
219268,0
219274,0
219276,1
219305,0
219311,1
219314,1
219323,0
219345,0
219357,0
219359,1
219360,1
219374,1
219375,1
219397,0
219400,1
219403,1
219416,0
219419,1
219422,1
219463,0
219493,1
219502,0
219509,0
219521,0
219528,1
219533,1
219539,1
219544,1
219558,0
219571,1
219584,1
219585,1
219587,0
219590,0
219610,0
219612,0
219620,1
219636,0
219659,1
219675,0
219679,0
219682,1
219683,1
219706,0
219724,0
219780,0
219794,0
219805,1
219814,1
219819,1
219823,0
219859,0
219877,0
219903,0
219910,0
219911,0
219920,0
219922,0
219953,1
219957,0
219960,1
219989,1
220007,1
220015,1
220021,1
220026,0
220054,0
220072,0
220083,0
220100,1
220122,0
220123,1
220148,1
220153,1
220161,1
220165,1
220207,0
220215,0
220222,0
220239,1
220270,1
220277,0
220287,0
220301,0
220311,0
220312,1
220315,0
220325,1
220329,0
220331,1
220336,1
220339,0
220369,1
220382,0
220400,0
220419,1
220426,0
220431,0
220437,0
220448,0
220450,1
220456,1
220469,0
220479,0
220481,0
220504,1
220533,0
220540,0
220541,1
220549,1
220559,1
220577,0
220579,1
220588,1
220591,1
220610,1
220639,1
220652,1
220680,0
220692,1
220698,1
220712,0
220714,1
220753,0
220759,0
220772,1
220779,0
220789,1
220791,1
220792,0
220812,1
220861,1
220863,0
220866,1
220898,1
220907,0
220908,0
220912,0
220920,0
220934,0
220936,0
220944,0
220945,1
220963,0
220972,1
220990,1
221009,1
221014,1
221038,0
221057,1
221061,0
221109,1
221113,0
221115,1
221132,0
221137,0
221138,0
221146,1
221154,1
221192,1
221204,1
221242,1
221246,0
221252,0
221262,1
221265,1
221277,1
221287,0
221288,1
221295,1
221299,0
221307,1
221309,0
221313,1
221317,0
221332,1
221338,1
221339,1
221342,0
221354,0
221359,1
221365,1
221371,0
221380,0
221401,0
221489,0
221496,0
221501,1
221502,1
221514,1
221550,1
221553,1
221561,1
221571,0
221574,0
221577,0
221584,0
221586,1
221592,1
221669,0
221670,0
221674,0
221676,1
221684,1
221692,1
221695,0
221711,1
221714,0
221727,0
221746,1
221822,0
221887,1
221926,1
221934,0
221957,1
221983,1
221984,0
222017,1
222018,1
222027,0
222028,1
222072,1
222080,0
222081,1
222093,0
222108,0
222110,1
222119,0
222142,1
222155,1
222171,1
222182,1
222189,0
222202,1
222208,0
222222,1
222236,1
222248,0
222271,1
222277,1
222291,0
222310,0
222311,0
222326,1
222330,1
222339,0
222340,1
222353,0
222374,1
222377,1
222384,1
222388,0
222397,0
222401,1
222414,1
222428,0
222435,0
222437,1
222457,0
222464,0
222472,1
222478,0
222482,1
222505,0
222512,0
222541,1
222555,1
222563,0
222574,1
222590,1
222602,1
222604,1
222631,1
222643,1
222649,1
222658,0
222664,0
222677,1
222695,1
222717,0
222730,1
222749,1
222761,1
222763,1
222767,1
222780,1
222781,0
222789,1
222820,0
222822,0
222826,1
222835,1
222838,0
222852,0
222858,0
222861,1
222866,0
222873,0
222881,1
222887,1
222895,1
222899,1
222934,0
222941,0
222961,0
222977,1
222981,0
222987,1
223024,0
223044,0
223052,1
223057,0
223058,1
223060,1
223076,1
223084,1
223101,1
223111,1
223124,1
223142,0
223165,0
223166,0
223185,0
223186,0
223190,1
223202,1
223238,0
223272,1
223280,1
223293,1
223298,0
223333,1
223334,1
223353,1
223372,1
223374,0
223384,1
223388,1
223389,0
223395,1
223396,0
223405,1
223415,0
223419,0
223422,0
223425,0
223432,1
223436,1
223454,1
223487,0
223518,0
223522,1
223533,1
223536,1
223555,0
223568,0
223570,0
223572,0
223588,1
223595,0
223603,0
223608,1
223645,1
223650,0
223665,0
223668,0
223700,1
223711,1
223722,1
223737,0
223750,0
223761,1
223777,0
223789,1
223795,1
223810,0
223832,1
223835,0
223837,1
223847,0
223853,0
223855,1
223866,0
223873,0
223878,1
223882,0
223889,1
223891,0
223895,1
223898,1
223901,0
223918,1
223925,1
223928,1
223933,0
223938,1
223947,0
223968,1
223970,0
224014,0
224018,0
224025,1
224032,0
224033,0
224046,1
224091,1
224095,1
224097,1
224103,0
224104,0
224107,0
224109,0
224142,1
224144,0
224161,0
224182,1
224183,1
224184,0
224186,0
224191,0
224212,0
224228,0
224241,1
224252,1
224254,0
224256,0
224266,1
224268,0
224271,0
224274,0
224286,1
224289,1
224306,1
224309,1
224311,1
224360,1
224364,0
224393,1
224403,1
224404,0
224414,1
224419,0
224424,1
224429,1
224437,1
224443,1
224451,1
224459,1
224466,0
224467,1
224471,1
224493,1
224501,1
224531,1
224542,0
224580,0
224581,0
224591,1
224607,1
224609,1
224687,1
224689,0
224691,0
224692,1
224702,0
224712,0
224721,1
224749,1
224751,0
224752,0
224763,1
224774,0
224780,0
224792,0
224800,1
224835,1
224842,1
224857,1
224859,0
224873,0
224874,0
224884,0
224888,0
224891,1
224914,0
224931,1
224933,1
224935,1
224953,0
224960,0
224973,1
224997,1
225014,0
225048,1
225057,1
225062,1
225070,0
225075,0
225102,1
225128,1
225132,0
225134,0
225135,0
225155,1
225163,0
225168,1
225176,0
225178,1
225182,0
225204,1
225206,0
225210,1
225213,0
225216,1
225253,0
225285,1
225288,1
225311,1
225315,1
225330,0
225334,0
225341,1
225346,1
225348,1
225352,0
225354,1
225356,1
225358,1
225449,0
225450,1
225463,1
225471,0
225484,0
